Waterbody_LID,Avg_Temp,Avg_Percip,GDD,Area_ha,Depth_Max,Strahler,WETLANDS,FORESTS,AGRICULTURE,DISTURBANCE,URBAN,Min.DO,Avg.DO,HypoSpace.Area,DOC..mg.L.,pH,Sulphate.mg.L.,Phosphorus..ug.L.,Species,SampleYear,Length_cm,Weight_g,Mercury_ug.g
15-4109-56434,2.443932,753.846,1561.115,165,26,3,0.059785023,0.531225,0,0.408989962,0,4.04,5.21,0.38,11.4,6.7,1.5,12.6,Walleye,2009,45.2,771,1.8
15-4216-54977,3.524913,680.2347,1752.814,163,14.6,3,0,0.9407818,0,0.059218203,0,0.25,6.67,0.59,8.1,7.5,2.4,7.8,Northern Pike,2011,42.1,405,0.19
15-4395-54864,3.355715,678.2083,1726.712,10239,105.5,6,0.004012084,0.93513,0,0.013316746,0,1.75,9.79,0.74,3.6,6.9,0.1,4.5,Northern Pike,2010,64.1,1548,0.57
15-4729-54570,3.161157,683.8729,1690.967,1877,76.2,6,0.013190084,0.8975577,0,0.089252222,0,3.75,8.91,0.63,8.6,6.6,2.2,4.7,Walleye,2010,55,1415,0.84
15-5026-55337,2.928344,664.5795,1661.789,1020,7.6,5,0.01568999,0.8548313,0,0.126013449,0.002496675,5.4,8.9,0,4.2,7.1,2.4,4,Walleye,2010,67.5,3364,2.1
15-5842-54507,2.936034,703.317,1612.333,1613,55.2,4,0,0.9866898,0,0.013310241,0,6.7,9.57,0.69,4.1,7.1,2.5,5.4,Walleye,2010,33.8,331,0.16
15-6015-54420,2.949817,694.4354,1591.959,1428,81.1,4,0.003685874,0.9950287,0,0.001285465,0,9.5,10.29,0.7,3.6,6.8,2.4,3.3,Walleye,2010,49.9,1028,0.52
15-6824-55113,2.674501,718.8529,1471.275,1994,27,5,0.087639556,0.8834411,0,0.025551902,0.003237345,7.73,8.4,0,9.5,7.1,1.5,10.2,Walleye,2008,48.6,908,0.87
16-6053-54810,2.462814,717.8509,1277.715,500,9.8,3,0.322514884,0.3181134,0,0.304515023,0.054856719,4.03,7.89,0.07,9.7,7.8,1.2,10.6,Northern Pike,2011,53.3,760,0.46
16-6053-54810,2.462814,717.8509,1277.715,500,9.8,3,0.322514884,0.3181134,0,0.304515023,0.054856719,4.03,7.89,0.07,9.7,7.8,1.2,10.6,Walleye,2011,55.5,1725,0.68
16-6420-54760,2.274091,720.9009,1275.72,5374,27.5,5,0.999344907,0.000655,0,0,0,7.72,9.18,0,9.3,7.8,1.5,9,Walleye,2011,58.4,1759,0.76
16-6697-54829,1.989859,708.988,1281.97,2481,8.2,5,0.236616276,0.6577722,0,0.08184975,0.023394635,3.43,7.42,0.31,6.5,8,2.1,11.4,Northern Pike,2011,61.4,1025,0.65
17-2953-54198,2.528815,784.8047,1332.929,251,5.8,4,0.302285695,0.6399178,0,0.055026001,0.00277054,6.88,8.21,0,13.8,7.6,1.7,11.1,Northern Pike,2011,26.2,104,0.08
17-3006-52333,3.991244,846.6659,1529.538,137,20.7,5,0.009466218,0.7723898,0,0.218144009,0,1.1,6.35,0.27,12.6,6.6,3,9,Walleye,2008,33.6,383,0.44
17-3813-51443,5.484917,981.405,1724.07,61,15.2,3,0,0.8748992,0,0,0,1.45,7.44,0.59,4.6,6.9,3.4,4.4,Walleye,2011,58,1780,0.88
17-4175-51987,5.0027,899.7158,1657.48,2048,44.8,5,0.008712778,0.9722227,0,0.018251728,0,8.9,9.91,0.83,2.8,6.6,4.8,3.9,Northern Pike,2010,47.5,700,0.4
17-4235-50696,6.15616,1020.0651,1760.669,10588,49.1,4,0.046266817,0.7661234,0.1843178,0,0,8.05,8.84,0.36,3.1,8.1,15.6,7.6,Walleye,2011,49.7,1360,0.11
17-5026-52889,3.43029,812.7976,1563.981,983,40.2,4,0.009129498,0.9605975,0,0.030273017,0,7.62,8.27,0,6,7.3,4.5,6.5,Walleye,2009,27.4,151,0.43
17-5046-53895,2.501207,719.1894,1466.868,3858,17.4,6,0.013271435,0.8423554,0,0.128410389,0.015962734,9.02,9.16,0,13.7,7.5,34,45.9,Northern Pike,2010,64.1,1430,0.16
17-5352-50862,6.299739,1052.4524,1722.613,97,6.1,2,0.100140525,0.8493375,0,0,0.032287206,0.5,7.01,0,9.4,7.1,2.4,13.4,Northern Pike,2011,82.7,3700,1.3
17-5352-50862,6.299739,1052.4524,1722.613,97,6.1,2,0.100140525,0.8493375,0,0,0.032287206,0.5,7.01,0,9.4,7.1,2.4,13.4,Northern Pike,2011,39.2,320,0.26
17-5352-50862,6.299739,1052.4524,1722.613,97,6.1,2,0.100140525,0.8493375,0,0,0.032287206,0.5,7.01,0,9.4,7.1,2.4,13.4,Walleye,2011,51.1,1490,0.61
17-5577-51311,5.626606,1007.6566,1742.084,64,6.1,5,0.01001422,0.7137825,0.2588987,0,0,0.24,5.67,0.01,2.9,7.2,7.8,6.7,Northern Pike,2009,44.1,561,0.38
17-5970-52137,4.66946,946.9413,1686.185,779,36.6,5,0.001898305,0.9742082,0,0,0.023893462,5.71,7.68,0.63,5.2,7.3,8.5,5.6,Walleye,2009,48.2,861,1.4
17-6382-51179,5.635711,1004.9393,1755.164,1765,14,4,0.01620282,0.8276361,0.1517279,0,0,4.3,8.14,0,4.5,7.1,5.3,17.4,Walleye,2009,47.9,900,0.43
